FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
7  ELEVEN FOOD STORE 11713A,"14101 GEORGIA AVE. , WHEATON, MD 20906",4/3/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,4/19/2018
7  ELEVEN FOOD STORE 11713A,"14101 GEORGIA AVE. , WHEATON, MD 20906",4/3/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,4/19/2018
KEMP MILL BEER WINE & DELI,"1339 LAMBERTON DRIVE , SILVER SPRING, MD 20902-3414",1/17/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,4/20/2018
MINERVA INDIAN CUISINE,"16240 FREDERICK ROAD , GAITHERSBURG, MD 20877",1/25/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,4/23/2018
DIETLES,"11010 ROCKVILLE PIKE , ROCKVILLE, MD 20852",10/11/2017,SALE TO MINOR,SETTLED; $1000+ ALERT,2/6/2018
BLACK'S BAR & KETCHEN,"7750 WOODMONT AVE. , BETHESDA, MD 20814",1/18/2018,SALE TO MINOR,SETTLED; $1000 + ALERT,4/25/2018
RAINBOW SUSHI,"18076 MATENY RD , GERMANTOWN, MD 20874",4/2/2018,RECORDS INVOICE VIOLATION,SETTLED;$500 + ALERT,4/25/2018
GREEN GROWLER'S,"227 E. DIAMOND AVE , GAITHERSBURG, MD 20878",4/2/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,4/25/2018
OLD TOWN POUR HOUSE,"212 ELLINGTON BOULEVARD , GAITHERSBURG, MD 20878",12/15/2017,DISORDERLY HOUSE,SETTLED; $1000+ALERT,4/26/2018
GODAVARI,"9011 GAITHER ROAD , GAITHERSBURG, MD 20877",4/2/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,4/26/2018
CAFE PROMENADE,"5225 POOKS HILL ROAD , BETHESDA, MD 20814",3/13/2018,SALE TO MINOR,SETTLED; $1000+ALERT,4/27/2018
THE OFFICE CAFE & LOUNGE,"6860 OLNEY-LAYTONSVILLE ROAD , LAYTONSVILLE, MD 20882",10/18/2017,SALE TO MINOR,SETTLED; $2500 + ALERT,4/30/2018
EL AGUILA,"7926 GEORGIA AVENUE , SILVER SPRING, MD 20910",11/3/2017,SALE TO MINOR,SETTLED; $1000+ALERT,5/2/2018
EL AGUILA RESTAURANT,"8649 16TH STREET , SILVER SPRING, MD 20910",9/27/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,11/28/2017
HECKMAN'S DELICATESSEN,"4914 CORDELL AVENUE , BETHESDA, MD 20814",1/12/2018,SALE TO MINOR,SETTLED; $1000+ALERT,5/1/2018
ARMANDS CHICAGO PIZZERIA,"1909 SEMINARY ROAD , SILVER SPRING, MD 20910",1/13/2018,SALE TO MINOR,SETTLED; $2500+ALERT,2/27/2018
ROSSMOOR LEISURE WORLD,"3700 ROSSMOOR BLVD. , SILVER SPRING, MD 20906",5/14/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,5/29/2018
LA FONDA CHIQUITA CAFE,"6838 NEW HAMPSHIRE AVE. , TAKOMA PARK, MD 20912",4/11/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,5/29/2018
PANDORA SEAFOOD HOUSE,"36 A MARYLAND AVENUE , ROCKVILLE, MD 20850",5/7/2018,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100+ALERT,6/1/2018
PANDORA SEAFOOD HOUSE,"36 A MARYLAND AVENUE , ROCKVILLE, MD 20850",5/7/2018,RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,6/1/2018
TAKOMA BEVERAGE COMPANY,"6917 LAUREL AVENUE , TAKOMA PARK, MD 20912",4/11/2018,SALE TO MINOR,SETTLED; $1000+ALERT,6/1/2018
PANDORA SEAFOOD HOUSE,"36 A MARYLAND AVENUE , ROCKVILLE, MD 20850",5/7/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,6/1/2018
CORK & FORK,"7110 BETHESDA LANE , BETHESDA, MD 20814",9/15/2017,SALE TO MINOR,$2500+ALERT,11/30/2017
FIRE STATION 1,"8131 GEORGIA AVENUE , SILVER SPRING, MD 20910",1/23/2018,SALE TO MINOR,$1000+ALERT,5/6/2018
EL ENCANTO,"8035 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",5/15/2018,RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,6/6/2018
ODALIS,"8215 GEORGIA AVENUE , SILVER SPRING, MD 20910",3/12/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,6/12/2018
BECLAWS,"2404 UNIVERSITY BOULEVARD , SILVER SPRING, MD 20902",4/10/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; 100+ALERT,6/12/2018
LUCY ETHIOPIAN RESTAURANT,"8301 GEORGIA AVENUE , SILVER SPRING, MD 20910",3/8/2018,SALE TO MINOR,SETTLED; $2500 + ALERT,6/13/2018
HONEY PIG,"19727 FREDERICK ROAD , GERMANTOWN, MD 20876",5/21/2018,STORAGE,SETTLED; $600 + ALERT (3 UNAPPROVED SOURCES),6/14/2018
HIBACHI SUSHI SUPREME BUFFET,"8 BUREAU DRIVE , GAITHERSBURG, MD 20878",5/30/2018,RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,6/14/2018
HIBACHI SUSHI SUPREME BUFFET,"8 BUREAU DRIVE , GAITHERSBURG, MD 20878",5/30/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,6/14/2018
FONTINA GRILLE,"801 PLEASANT DRIVE , ROCKVILLE, MD 20850",4/28/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500+ALERT,6/28/2018
CAFE PROMENADE,"5225 POOKS HILL ROAD , BETHESDA, MD 20814",5/14/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,7/2/2018
I ROCK KARAOKE LOUNGE,"15964 SHADY GROVE RD. , GAITHERSBURG, MD 20877",6/14/2018,RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,7/6/2018
WESTLAKE BEER & WINE,"10442 AUTOPARK AVENUE , BETHESDA, MD 20817",3/13/2018,SALE TO MINOR,SETTLED; $1000+ALERT,3/29/2018
PRIME BEER & WINE,"12842 NEW HAMPSHIRE AVE , SILVER SPRING, MD 20904",1/11/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,7/11/2018
FIRE STATION 1,"8131 GEORGIA AVENUE , SILVER SPRING, MD 20910",7/4/2018,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $2500+ALERT,7/19/2018
PANDORA SEAFOOD HOUSE,"36 A MARYLAND AVENUE , ROCKVILLE, MD 20850",6/7/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,7/19/2018
EL ESTERON RESTAURANT,"8500 DAKOTA DRIVE , GAITHERSBURG, MD 20878",6/28/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,7/19/2018
PANDORA SEAFOOD HOUSE,"36 A MARYLAND AVENUE , ROCKVILLE, MD 20850",6/7/2018,FAILED TO LABEL PRODUCTS FROM DISPENSING APPARATUS,SETTLED; $100+ALERT,7/19/2018
PANDORA SEAFOOD HOUSE,"36 A MARYLAND AVENUE , ROCKVILLE, MD 20850",6/7/2018,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$1000+ALERT,7/19/2018
RIVERSIDE LOUNGE,"11272 GEORGIA AVENUE , WHEATON, MD 20902",6/28/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ EMPLOYEE RECORDS,7/24/2018
RIVERSIDE LOUNGE,"11272 GEORGIA AVENUE , WHEATON, MD 20902",7/20/2018,STORAGE,SETTLED;$800+ALERT,7/24/2018
PERUVIAN CHICKEN & GRILL,"26400 RIDGE RD , DAMASCUS, MD 20872",7/5/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTED;$100+ALERT,7/24/2018
LA FONDA CHIQUITA CAFE,"6838 NEW HAMPSHIRE AVE. , TAKOMA PARK, MD 20912",4/11/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,7/24/2018
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",5/30/2018,STORAGE,"SETTLED;$4,400+ALERT",8/2/2018
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",5/30/2018,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100+ALERT,8/2/2018
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",5/30/2018,RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,8/2/2018
WHEATON WINERY,"2211 UNIVERSITY BLVD. W. B, WHEATON, MD 20902-4505",7/20/2018,SALE TO MINOR,SETTLED; $2500+ALERT,8/8/2018
SEAFOOD IN THE BUFF,"12132 GEORGIA AVE , WHEATON, MD 20902",7/19/2018,SALE TO MINOR,SETTLED;$1000+ALERT,8/8/2018
LA FONDA CHIQUITA CAFE,"6838 NEW HAMPSHIRE AVE. , TAKOMA PARK, MD 20912",4/11/2018,SALE TO MINOR,SETTLED; $1000+ALERT,6/26/2018
PERUVIAN CHICKEN & GRILL,"26400 RIDGE RD , DAMASCUS, MD 20872",8/8/2018,AGE OF EMPLOYEE VIOLATION,SETTLED; $1000+ALERT,8/9/2018
PERUVIAN CHICKEN & GRILL,"26400 RIDGE RD , DAMASCUS, MD 20872",8/8/2018,SALE TO MINOR,SETTLED; $1000+ALERT,8/9/2018
CITY TASTE ASIAN CUISINE,"930 WAYNE AVE , SILVER SPRING, MD 20910",7/31/2018,SALE TO MINOR,SETTLED; $1000+ALERT,8/9/2018
CITY TASTE ASIAN CUISINE,"930 WAYNE AVE , SILVER SPRING, MD 20910",7/31/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,8/9/2018
MIDDLEBROOK DISCOUNT B&W,"19601 FREDERICK RD , GERMANTOWN, MD 20876",7/30/2018,SALE TO MINOR,SETTLED;$1000+ALERT,8/13/2018
LIMARIA POLLO A LA BRASA,"74 BUREAU DRIVE , GAITHERSBURG, MD 20878",8/6/2018,RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,8/13/2018
RIVERSIDE HOTPOT CUISINE,"820 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",7/13/2018,SALE TO MINOR,SEETLED; $1000+ALERT,8/13/2018
SABAI SABAI...SIMPLY THAI,"19847 CENTURY BOULEVARD , GERMANTOWN, MD 20874",7/30/2018,SALE TO MINOR,SETTLED;$1000+ALERT,8/13/2018
RIVERSIDE HOTPOT CUISINE,"820 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",7/13/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,8/13/2018
LIMARIA POLLO A LA BRASA,"74 BUREAU DRIVE , GAITHERSBURG, MD 20878",8/2/2018,SALE TO MINOR,SETTLED; 1000+ALERT,8/13/2018
SUPER CHICKEN,"12611 H WISTERIA DRIVE , GERMANTOWN, MD 20874",7/16/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,8/13/2018
LIMARIA POLLO A LA BRASA,"74 BUREAU DRIVE , GAITHERSBURG, MD 20878",8/6/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,8/13/2018
SUPER CHICKEN,"12611 H WISTERIA DRIVE , GERMANTOWN, MD 20874",7/16/2018,SALE TO MINOR,SETTLED;$1000+ALERT,8/13/2018
TOKYO SUSHI,"18301 LEAMAN RD , GERMANTOWN, MD 20874",7/16/2018,SALE TO MINOR,SETTLED;$1000+ALERT,8/15/2018
MARK'S KITCHEN,"7006 CARROLL AVENUE , TAKOMA PARK, MD 20912",7/19/2018,SALE TO MINOR,SETTLED;$1000+ALERT,8/15/2018
CHOICE WINE & BEER,"11160 VEIRS MILL RD , WHEATON, MD 20902",7/20/2018,SALE TO MINOR,SETTLED;$1000+ALERT,8/15/2018
GEMELLI'S ITALIAN MARKET,"12169 DARNESTOWN RD , GAITHERSBURG, MD 20878",8/30/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/20/2018
MARK'S KITCHEN,"7006 CARROLL AVENUE , TAKOMA PARK, MD 20912",7/19/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,8/15/2018
CHAPEL BEER & WINE,"19727 FREDERICK RD , GERMANTOWN, MD 20876",7/30/2018,SALE TO MINOR,SETTLED; $1000+ALERT,8/17/2018
NOT YOUR AVERAGE JOE'S,"239 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",7/30/2018,SALE TO MINOR,SETTLED; $1000+ALERT,8/21/2018
SILVER SPRING HILTON HOTEL,"8727 COLESVILLE ROAD , SILVER SPRING, MD 20910",4/11/2018,SALE TO MINOR,SETTLED; $8000+ALERT,8/2/2018
LA ANTIGUA RESTAURANT,"11260 GEORGIA AVE , WHEATON, MD 20902",6/28/2018,SALE/SERVICE TO INTOXICATED PATRON,SETTLED; $1000+ALERT,8/24/2018
SENECA MEADOWS BEER & WINE,"20640 SENECA MEADOWS PKWY , GERMANTOWN, MD 20876",7/30/2018,SALE TO MINOR,SETTLED; $1000+ALERT,8/29/2018
SOCIETY RESTAURANT & LOUNGE,"8229 GEORGIA AVE , SILVER SPRING, MD 20910",8/1/2018,NOISE/DISTURBANCE OF THE NEIGHBORHOOD,SETTLED;$1000+ALERT,8/29/2018
ODALIS,"8215 GEORGIA AVENUE , SILVER SPRING, MD 20910",3/8/2018,SALE TO MINOR,SETTLED; $2500 + ALERT,8/29/2018
SOCIETY RESTAURANT & LOUNGE,"8229 GEORGIA AVE , SILVER SPRING, MD 20910",8/1/2018,DISPENSING LIQUOR BY BOTTLE FOR CONSUMPTION ONSITE,SETTLED; $1000+ALERT,8/29/2018
UPCOUNTY FINE WINE & BEER,"23229 STRINGTOWN RD. , CLARKSBURG, MD 20871",8/8/2018,SALE TO MINOR,SETTLED; $1000+ALERT,8/30/2018
LITTLE BENNETT GOLF COURSE,"25900 PRESCOTT ROAD , CLARKSBURG, MD 20871",8/8/2018,SALE TO MINOR,SETTLED; $1000+ALERT,8/30/2018
RUMBA Y CARBON,"11222 GRANDVIEW AVENUE , GAITHERSBURG, MD 20902",7/20/2018,SALE TO MINOR,SETTLED; $1000+ALERT,8/31/2018
GOSHEN PLAZA BEER & WINE,"9150 ROTHBURY DR , MONTGOMERY VILLAGE, MD 20886",8/14/2018,SALE TO MINOR,SETTLED; $1000+ALERT,8/31/2018
LA MEXICANA,"13016 MIDDLEBROOK ROAD , GERMANTOWN, MD 20874",8/10/2018,SALE TO MINOR,SETTLED; $1000+ALERT,8/31/2018
LAKESIDE BEER AND WINE,"9621 LOST KNIFE RD , GAITHERSBURG, MD 20874",8/9/2018,SALE TO MINOR,SETTLED; $1000+ALERT,8/31/2018
RUMBA Y CARBON,"11222 GRANDVIEW AVENUE , GAITHERSBURG, MD 20902",7/20/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,8/31/2018
MONTGOMERY VILLAGE BEER & WINE,"18286 CONTOUR RD , GAITHERSBURG, MD 20879",8/9/2018,SALE TO MINOR,SETTLED;$1000+ALERT,9/4/2018
MONTGOMERY VILLAGE BEER & WINE,"18286 CONTOUR RD , GAITHERSBURG, MD 20879",8/9/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,9/4/2018
ABI AZTECA GRILL,"11514 MIDDLEBROOK RD. , GERMANTOWN, MD 20874",8/17/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/5/2018
MOONLIGHT BAR,"8035 SNOUFFER SCHOOL RD , GAITHERSBURG, MD 20879",8/14/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/5/2018
CONVENIENT BEER & WINE,"8441 SNOUFFER SCHOOL RD , GAITHERSBURG, MD 20879",8/14/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/5/2018
MOONLIGHT BAR,"8035 SNOUFFER SCHOOL RD , GAITHERSBURG, MD 20879",8/14/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,9/5/2018
NEW YORK J & P PIZZA,"26027 RIDGE ROAD , DAMASCUS, MD 20872",8/8/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,9/6/2018
TOKYO FIRE,"9811 MAIN ST SUITE 101, DAMASCUS, MD 20872",8/8/2018,SALE TO MINOR,SETTLED; $1000.00,9/6/2018
NEW YORK J & P PIZZA,"26027 RIDGE ROAD , DAMASCUS, MD 20872",8/8/2018,AGE OF EMPLOYEE VIOLATION,SETTLED;$1000+ALERT,9/6/2018
NEW YORK J & P PIZZA,"26027 RIDGE ROAD , DAMASCUS, MD 20872",8/8/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,9/6/2018
NEW YORK J & P PIZZA,"26027 RIDGE ROAD , DAMASCUS, MD 20872",8/8/2018,SALE TO MINOR,SETTLED;$1000.00+ALERT,9/6/2018
SENOR TEQUILA'S,"20021 CENTURY BLVD. , GERMANTOWN, MD 20874",7/30/2018,SALE TO MINOR,SETTLED;$1000+ALERT,9/6/2018
EL SOL SALVADOREAN & MEXICAN RESTAURANT,"13881 OUTLET DRIVE C, SILVER SPRING, MD 20904",7/25/2018,RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,9/7/2018
EL ANDARIEGO,"5 OLNEY SANDY SPRING ROAD , ASHTON, MD 20861",7/31/2018,SALE TO MINOR,SETTLED;$1000+ALERT,9/7/2018
EL SOL SALVADOREAN & MEXICAN RESTAURANT,"13881 OUTLET DRIVE C, SILVER SPRING, MD 20904",7/25/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500+ALERT,9/7/2018
DIAMOND SQUARE BEER & WINE,"38 BUREAU DRIVE , GAITHERSBURG, MD 20878",8/9/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/7/2018
CHEESE & WINE SHOPPE,"2501 ENNALLS AVE. , WHEATON, MD 20902",9/4/2018,APPLICATION - FAILURE TO UPDATE,SETTLED; $1000+ALERT,9/10/2018
3 STAR CONVENIENCE STORE,"18524 WOODFIELD ROAD , GAITHERSBURG, MD 20879",8/14/2018,SALE TO MINOR,SEETLED; $1000+ALERT,9/10/2018
PHO TAN VINH,"8705 COLESVILLE RD , SILVER SPRING, MD 20910",7/19/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/11/2018
DON POLLO-GERMANTOWN,"21040 A FREDERICK RD , GERMANTOWN, MD 20876",8/21/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/11/2018
AMY TEX-MEX BAR AND GRILL,"621 SLIGO AVE , SILVER SPRING, MD 20910",8/23/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/10/2018
NANDO'S PERI PERI,"4839 BETHESDA AVENUE , BETHESDA, MD 20814",7/31/2018,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100+ALERT,9/10/2018
CHOICE MARKET,"18700 WALKERS CHOICE RD , MONTGOMERY VILLAGE, MD 20886",8/21/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,9/13/2018
LA MADELEINE-CROWN,"242 CROWN PARK AVE , GAITHERSBURG, MD 20878",8/17/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/13/2018
CHOICE MARKET,"18700 WALKERS CHOICE RD , MONTGOMERY VILLAGE, MD 20886",8/21/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,9/13/2018
CHOICE MARKET,"18700 WALKERS CHOICE RD , MONTGOMERY VILLAGE, MD 20886",8/21/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/13/2018
PRIME BEER & WINE,"12842 NEW HAMPSHIRE AVE , SILVER SPRING, MD 20904",1/11/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/13/2018
BARKING MAD CAFE,"239 SPECTRUM AVENUE , GAITHERSBURG, MD 20879",8/21/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/11/2018
JO'S BEER AND WINE,"18507 N. FREDERICK AVENUE , GAITHERSBURG, MD 20879",8/21/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/13/2018
TACO BAR,"10003 FIELDS ROAD B, GAITHERSBURG, MD 20878",8/17/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/14/2018
CHIPOTLE MEXICAN GRILL - KENTLANDS,"96 MAIN STREET , GAITHERSBURG, MD 20878",7/30/2018,SALE TO MINOR,SETTLED; $2500+ALERT,9/14/2018
ACAJULTA RESTAURANT,"18554 WOODFIELD ROAD , GAITHERSBURG, MD 20879",8/14/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00+ALERT,9/14/2018
OWENS ORDINARY,"11820 TRADE STREET , NORTH BETHESDA, MD 20852",7/5/2018,RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,9/14/2018
TACO BAR,"10003 FIELDS ROAD B, GAITHERSBURG, MD 20878",8/17/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,9/14/2018
CHIPOTLE MEXICAN GRILL - KENTLANDS,"96 MAIN STREET , GAITHERSBURG, MD 20878",7/30/2018,AGE OF EMPLOYEE VIOLATION,SETTLED; $1000+ALERT,9/14/2018
TACO BAR,"10003 FIELDS ROAD B, GAITHERSBURG, MD 20878",8/17/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,9/14/2018
ACAJULTA RESTAURANT,"18554 WOODFIELD ROAD , GAITHERSBURG, MD 20879",8/14/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/14/2018
OWENS ORDINARY,"11820 TRADE STREET , NORTH BETHESDA, MD 20852",7/5/2018,STORAGE,SETTLED; $1000+ALERT,9/14/2018
RED BOWL,"12051 C-4 CHESTNUT BRANCH WAY , CLARKSBURG, MD 20871",8/17/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/14/2018
GREAT SHOALS,"7050 CARROLL AVE. #101 , TAKOMA PARK, MD 20912",8/23/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/18/2018
ASIA NINE II,"254 CROWN PARK ROAD , GAITHERSBURG, MD 20878",8/17/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/18/2018
GREAT SHOALS,"7050 CARROLL AVE. #101 , TAKOMA PARK, MD 20912",8/23/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00,9/18/2018
HICKORY BAR & GRILL,"15420 OLD COLUMBIA PIKE , BURTONSVILLE, MD 20866",8/10/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,9/18/2018
HONEY PIG,"19727 FREDERICK ROAD , GERMANTOWN, MD 20876",8/10/2018,SALE TO MINOR,SETTLED; $1000.00+ ALERT,9/20/2018
ANTOJITOS RESTAURANT,"12 E. DIAMOND AVE. , GAITHERSBURG, MD 20877",8/9/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/19/2018
ZIKI JAPANESE STEAK HOUSE,"10009 FIELDS ROAD , GAITHERSBURG, MD 20878",8/27/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/26/2018
TED'S MONTANA GRILL,"105 ELLINGTON BOULEVARD , GAITHERSBURG, MD 20878",8/17/2018,SALE TO MINOR,SETTLED; $2500+ALERT,9/24/2018
TARA THAI RESTAURANT,"9811 WASHINGTONIAN BLVD. , GAITHERSBURG, MD 20878",8/17/2018,SALE TO MINOR,SETTLED; $2500+ALERT,9/28/2018
DOCK OF THE BAY,"429 S. FREDERICK ROAD , GAITHERSBURG, MD 20877",9/11/2018,SALE TO MINOR,SETTLED; $2500+ALERT,9/28/2018
PACCI'S TRATTORIA,"6 POST OFFICE , SILVER SPRING, MD 20910",8/23/2018,SALE TO MINOR,SETTLED; $1000+ALERT,9/28/2018
TARA THAI RESTAURANT,"9811 WASHINGTONIAN BLVD. , GAITHERSBURG, MD 20878",8/17/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,9/28/2018
AGRODOLCE,"21030 FREDERICK ROAD J, GERMANTOWN, MD 20876",8/21/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,10/8/2018
REDMILL MARKET BEER & WINE,"7248 MUNCASTER MILL ROAD , DERWOOD, MD 20855",8/14/2018,SALE TO MINOR,SETTLED; $1000+ALERT,10/8/2018
B&B BEER AND WINE,"8403 SNOUFFER SCHOOL RD. , GAITHERSBURG, MD 20879",10/4/2018,SALE TO MINOR,SETTLED; $1000+ALERT,10/8/2018
OUTBACK STEAKHOUSE,"12609 WISTERIA DR , GERMANTOWN, MD 20874",8/23/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,10/8/2018
OUTBACK STEAKHOUSE,"12609 WISTERIA DR , GERMANTOWN, MD 20874",8/17/2018,SALE TO MINOR,SETTLED;$1000.00+ALERT,10/8/2018
TGI FRIDAYS,"12281 TECH ROAD , SILVER SPRING, MD 20904",8/8/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,9/4/2018
MYTHOS MEDITTERANEAN GREEK RESTAURANT,"8371 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",8/14/2018,SALE TO MINOR,SETTLED;$1000+ALERT,10/10/2018
RED LOBSTER-GAITHERSBURG,"15700 SHADY GROVE ROAD , GAITHERSBURG, MD 20877",8/17/2018,SALE TO MINOR,SETTLED;$2500+ALERT,10/11/2018
GISELES CREOLE CUISINE,"2407 PRINCE AVENUE , SILVER SPRING, MD 20902",7/20/2018,SALE TO MINOR,SETTLED;$2500+ALERT,10/11/2018
GISELES CREOLE CUISINE,"2407 PRINCE AVENUE , SILVER SPRING, MD 20902",7/20/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,10/11/2018
CLARKSBURG GROCERIES BEER & WINE,"23329 FREDERICK ROAD , CLARKSBURG, MD 20871",8/8/2018,SALE TO MINOR,SETTLED;$2500+ALERT,10/12/2018
BAR LOUIE WHEATON,"11160 VEIRS MILL RD , WHEATON, MD 20902",9/17/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,10/19/2018
BECLAWS,"2404 UNIVERSITY BOULEVARD , SILVER SPRING, MD 20902",9/11/2018,RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,10/18/2018
